generation #, # alive cells, # dead cells, BORN, KILLED 
621,14,242,4,4
622,14,242,4,4
623,14,242,4,4
624,14,242,4,4
625,14,242,4,4
626,14,242,4,4
627,14,242,4,4
628,14,242,4,4
629,14,242,4,4
630,14,242,4,4
631,14,242,4,4
632,14,242,4,4
633,14,242,4,4
634,14,242,4,4
635,14,242,4,4
636,14,242,4,4
637,14,242,4,4
638,14,242,4,4
639,14,242,4,4
640,14,242,4,4
641,14,242,4,4
642,14,242,4,4
643,14,242,4,4
644,14,242,4,4
645,14,242,4,4
646,14,242,4,4
647,14,242,4,4
648,14,242,4,4
649,14,242,4,4
650,14,242,4,4
651,14,242,4,4
652,14,242,4,4
653,14,242,4,4
654,14,242,4,4
655,14,242,4,4
656,14,242,4,4
657,14,242,4,4
658,14,242,4,4
659,14,242,4,4
660,14,242,4,4
661,14,242,4,4
662,14,242,4,4
663,14,242,4,4
664,14,242,4,4
665,14,242,4,4
666,14,242,4,4
667,14,242,4,4
668,14,242,4,4
669,14,242,4,4
670,14,242,4,4
671,14,242,4,4
672,14,242,4,4
673,14,242,4,4
674,14,242,4,4
675,14,242,4,4
676,14,242,4,4
677,14,242,4,4
678,14,242,4,4
679,14,242,4,4
680,14,242,4,4
681,14,242,4,4
682,14,242,4,4
683,14,242,4,4
684,14,242,4,4
685,14,242,4,4
686,14,242,4,4
687,14,242,4,4
688,14,242,4,4
689,14,242,4,4
690,14,242,4,4
691,14,242,4,4
692,14,242,4,4
693,14,242,4,4
694,14,242,4,4
695,14,242,4,4
696,14,242,4,4
697,14,242,4,4
698,14,242,4,4
699,14,242,4,4
700,14,242,4,4
701,14,242,4,4
702,14,242,4,4
703,14,242,4,4
704,14,242,4,4
705,14,242,4,4
706,14,242,4,4
707,14,242,4,4
708,14,242,4,4
709,14,242,4,4
710,14,242,4,4
711,14,242,4,4
712,14,242,4,4
713,14,242,4,4
714,14,242,4,4
715,14,242,4,4
716,14,242,4,4
717,14,242,4,4
718,14,242,4,4
719,14,242,4,4
720,14,242,4,4
721,14,242,4,4
722,14,242,4,4
723,14,242,4,4
724,14,242,4,4
725,14,242,4,4
726,14,242,4,4
727,14,242,4,4
728,14,242,4,4
729,14,242,4,4
730,14,242,4,4
731,14,242,4,4
